Player,Season,Age,Team,Comp,Nation,(+/-) / 90,MP,Min,90s played,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,Pkatt,PKm,PPM,onG,onGA,Recov/90,Min.y,Off,PKwon,PKcon,OG,Tkl/90,Tkl Won,Tkls in Def 3rd,Tkls in Mid 3rd,Tkls in Att 3rd,Tkl,Tkl Att,Tkl%,Lost,Blocks,Shots Blocked,Pass Blocked,Int,Tkl+Int,Clearances,Errors leading to shoot,Carries/90,TotDist Carried,PrgDist Carried,PrgC,Carries into final third,Carreis into 18yd,Succesful Received Passes,Progressive Passes Received,PassesCmp/90,Passes Attempted,Passes Cmp%,Key Passes,Key Passes Close to Goal,Passes into 18yd,CrsPA,Prg Passes,TotDist Passed,PrgDist Passed,Short Passes Cmp,Short Passes Att,Short Passes Cmp%,Medium Passes Cmp,Medium Passes Att,Medium Passes Cmp%,Long Passes Cmp,Long Passes Att,Long Passes Cmp%,Touches/90,Touches in Def Pen,Touches in Def 3rd,Touches in Mid 3rd,Touches Att 3rd,Touches in Att Pen,Live ball Touches,xG when on/90,xGA when on,xG+/-,MarketValue_2022,MarketValue in Millions,predicted_value,Residual,Def_score_raw,Prog_score_raw,Onball_score_raw,Creat_score_raw,Def_score,Prog_score,Onball_score,Creat_score,Def_pct,Prog_pct,Onball_pct,Creat_pct
Jeremie Boga,2022-2023,25,Atalanta,it Serie A,ci CIV,0.6,23,782,8.7,5,18,10,0.2,0.6,0.8,0.2,0,0,0,0.2,2.2,1.6,3.9,782,0.1,0,0,0,1,0.6,0.3,0.2,0.5,0.2,0.6,40,0.3,0.7,0,0.7,0.1,1.2,0.1,0,48.1,422.7,219.1,7.4,5.4,2.3,56.3,9,43.8,54.7,80.2,3.9,2.6,2.8,0.9,6.1,679.9,178.6,25.1,28.9,86.9,12,14.4,83.2,4.4,7.1,61.3,69.1,0.1,4.9,26.2,39.6,4.3,69.1,1.7,1,0.7,15000000,15,20.669330416129924,-5.669330416129924,5.1,13.5,124,5.6,-1.2769666818654786,3.298292890756999,0.6562366856566868,3.7263242972501462,0.1078107810781078,0.9977997799779978,0.7513751375137514,0.9977997799779978
Joaquín,2022-2023,41,Betis,es La Liga,es ESP,1.3,22,496,5.5,2,20,11,0,0.4,0.4,0,0,0,0,0.2,1.8,0.5,4.5,496,0.2,0,0,0,0.5,0.5,0.4,0.2,0,0.2,0.5,33.3,0.4,1.3,0.4,0.9,0.7,1.3,0.9,0,41.2,233.3,129.6,4.2,2.9,1.1,49.9,6.7,46.8,58.8,79.6,3.8,2.7,2,0.5,4.7,646.1,168.4,28.9,31.8,90.9,13.4,16.5,81.3,2.2,5.6,38.7,68.4,1.3,7.6,27.6,33.8,3.1,68.4,2.2,1.2,1,1500000,1.5,8.80686398117355,-7.306863981173549,5.8,8.9,126.39999999999999,6,-0.9830557928828546,1.2269322965466924,0.7760211337531514,4.210400687042814,0.16721672167216722,0.8888888888888888,0.7854785478547854,1
Kevin De Bruyne,2022-2023,31,Manchester City,eng Premier League,be BEL,1.7,32,2417,26.9,28,4,3,0.3,0.6,0.9,0.3,0,0,0,0.1,2.6,0.9,3.6,2417,0.2,0.1,0,0,1,0.4,0.1,0.4,0.5,0.5,1.5,35.9,0.9,1,0.1,0.9,0.3,1.4,0.4,0,42,213,127.2,3.7,3,0.6,53.8,9.1,44.4,60.5,73.3,3.6,4.6,3.6,0.8,9.2,825.3,242.6,20,23.6,85,17.8,23.4,75.8,6,10.2,58.2,69.3,0.5,3.7,27.7,38.8,3.7,69.3,2.2,0.7,1.5,80000000,80,44.81555465180337,35.18444534819663,5,12.899999999999999,117.69999999999999,5.800000000000001,-1.318953951720139,3.0281154219469584,0.34180250940346557,3.9683624921464813,0.09900990099009901,0.9911991199119912,0.6567656765676567,0.9988998899889989
Rémy Cabella,2022-2023,32,Lille,fr Ligue 1,fr FRA,0.7,32,2525,28.1,28,4,1,0.2,0.4,0.6,0.2,0,0,0,0.1,1.6,0.9,4.9,2525,0.1,0,0,0,2.3,1.3,0.7,1,0.5,1,2.3,45.3,1.2,1.5,0.2,1.3,0.6,2.9,0.2,0,55.2,331.4,146.4,4,3.3,0.8,52.6,8.6,49.8,62.9,79.2,3.6,5.5,2.7,0.4,8.2,736.8,244.2,26.8,30.3,88.5,16.5,20.8,79.6,3.1,6.1,51.5,72.4,0.6,5.8,32.9,34.4,4.8,72.4,1.9,0.9,1,5000000,5,14.621539310651277,-9.621539310651277,7.800000000000001,12.2,129,5.5,-0.14331039578964336,2.712908375001912,0.9057876191909888,3.60530519980198,0.42684268426842686,0.988998899889989,0.8195819581958196,0.9966996699669967
Dimitri Payet,2022-2023,35,Marseille,fr Ligue 1,fr FRA,1.5,24,835,9.3,9,15,8,0.4,0.3,0.8,0.3,0.1,0.1,0,0.2,2.9,1.4,5,835,0.2,0,0,0,0.6,0.4,0.2,0.2,0.2,0.3,1.2,27.3,0.9,0.4,0,0.4,0,0.6,0.4,0,51.1,281.6,133.9,2.4,1.8,0.8,49.5,9.1,41.6,56,74.2,3.3,4,3,0.1,7.7,759.7,240.8,18.6,22.6,82.4,15.7,20.2,78.1,5.7,9.6,59.6,65.2,0.6,5.7,25.8,34.6,4.2,65.1,1.8,1.2,0.6,3000000,3,6.670735912875092,-3.6707359128750916,5.6,10.1,115.80000000000001,5.1,-1.0670303325921757,1.767287234166772,0.2469731546604319,3.1212288100093124,0.14521452145214522,0.9460946094609461,0.6259625962596259,0.9933993399339934
Jonas Hofmann,2022-2023,30,Gladbach,de Bundesliga,de GER,-0.1,31,2680,29.8,30,1,0,0.4,0.3,0.7,0.4,0,0,0,0,1.4,1.6,4.7,2680,0.8,0.1,0,0,1,0.5,0.6,0.3,0.2,0.5,1.7,28.8,1.2,1.2,0.1,1.1,0.5,1.6,0.7,0,34.2,168.1,82.1,2.5,1.7,0.8,40.9,6.6,38.6,51.8,74.5,3.3,2.2,1.4,0.3,4,666.8,216.3,18.6,21.3,87.4,13.9,17,81.5,4.5,9.3,48.6,59.7,0.9,8.8,26.9,24.6,3.2,59.7,1.6,1.6,0,150000,0.15,20.001068339524757,-19.85106833952476,6.300000000000001,6.5,113.1,4.9,-0.7731194436095515,0.14622242130653249,0.11221565055190792,2.8791906151129796,0.22662266226622663,0.583058305830583,0.5665566556655666,0.9834983498349835
Piotr Zieli?ski,2022-2023,28,Napoli,it Serie A,pl POL,1.4,37,2287,25.4,27,10,1,0.1,0.3,0.4,0.1,0,0,0,0.1,2.2,0.8,4,2287,0.1,0,0,0,0.7,0.4,0,0.4,0.2,0.5,1,48,0.5,0.6,0.2,0.4,0.6,1.2,0.3,0,42.7,211.4,97.8,2.4,3,0.4,53.6,5.1,51.2,61.1,83.8,3.3,4.8,1.8,0.3,5,733.9,217.8,30.2,32.8,92.1,14.1,16.6,84.9,3.7,6.6,56.5,69.1,0.7,7.2,32.3,30.1,2.1,69.1,1.8,0.9,0.9,40000000,40,39.20833233264593,0.7916676673540692,5.2,7.4,135,5.1,-1.2349794120108177,0.5514886245215926,1.2052487394321514,3.1212288100093124,0.11551155115511551,0.7304730473047305,0.8811881188118812,0.9933993399339934
Bruno Fernandes,2022-2023,27,Manchester Utd,eng Premier League,pt POR,0.5,37,3316,36.8,37,0,0,0.2,0.2,0.4,0.2,0.1,0.1,0,0.1,1.5,1.1,6,3316,0.4,0,0,0,1.8,1.1,0.7,0.7,0.5,0.8,1.9,42.3,1.1,1,0.1,0.9,0.7,2.5,1.1,0,37.6,168.6,88.8,2.4,1.8,0.8,45.8,6.3,40.7,55.1,73.8,3.2,4,2.4,0.3,7.1,690.1,242.5,20.8,24.3,85.5,13.4,17.2,78.2,4.9,9,54.7,65.4,1.8,10.5,26.2,29.3,4,65.3,1.8,1.3,0.5,75000000,75,47.399280082152195,27.600719917847805,8.5,9.5,114.5,5,0.15060049319298016,1.4971097653567322,0.1820899119415128,3.000209712561146,0.5544554455445545,0.9218921892189219,0.6017601760176018,0.988998899889989
Florian Wirtz,2022-2023,19,Leverkusen,de Bundesliga,de GER,0.6,17,1090,12.1,11,6,0,0.1,0.5,0.6,0.1,0,0,0,0.1,1.8,1.2,6.4,1090,0.1,0,0,0,1.5,0.8,0.7,0.6,0.2,0.7,1.3,50,0.7,1.2,0.1,1.2,0.1,1.6,0.5,0,40.2,217.8,109.9,3,2.1,0.7,47.9,7.1,39.1,52.3,74.6,3.2,3.6,2.1,0.2,6.6,605.5,178.8,21.6,25.3,85.3,11.6,15.4,75.8,3.6,7.5,48.4,65,0.5,6,33.9,26,2.9,65,1.7,1,0.6,70000000,70,27.15328713123049,42.846712868769515,8,9.6,113.69999999999999,4.9,-0.05933585608032257,1.5421393434917388,0.1421617625760239,2.8791906151129796,0.46204620462046203,0.9273927392739274,0.5786578657865786,0.9834983498349835
Franck Honorat,2022-2023,25,Brest,fr Ligue 1,fr FRA,0,33,2535,28.2,29,4,0,0.2,0.2,0.4,0.2,0,0,0,0,1.2,1.2,4.8,2535,0.3,0,0,0,1.5,1,0.7,0.3,0.5,0.7,1.2,55.9,0.5,0.8,0.1,0.7,0.7,2.2,0.6,0,32.6,216.9,97.9,3.5,2.2,1.1,30.2,9.3,24.5,37,66.3,3.2,1.4,1.7,0.9,2.5,425.6,130.6,11.7,15.3,76.7,8.4,11.6,72.4,3.1,7.1,43.3,46.8,0.7,6.1,16.5,25,3.5,46.8,1.2,1.5,-0.3,9000000,9,15.702335027846289,-6.7023350278462885,7,6,90.8,4.4,-0.479208554626928,-0.07892546936850081,-1.0007815130110793,2.2740951278721457,0.3124312431243124,0.5005500550055005,0.1628162816281628,0.966996699669967
Rayan Cherki,2022-2023,18,Lyon,fr Ligue 1,fr FRA,0.8,34,1872,20.8,21,13,4,0.2,0.3,0.5,0.2,0,0,0,0.1,1.8,1.1,4.5,1872,0.2,0,0,0,0.7,0.4,0.1,0.2,0.3,0.4,1.1,34.8,0.7,0.3,0,0.3,0.2,0.9,0,0,55,400.2,201.1,6.4,4.4,2.9,53.2,12.5,40.6,52.6,77.1,3.2,3.4,2.9,0.2,6.9,663.4,173.1,20.8,24.3,85.7,13.4,17,78.8,4.4,7.6,57.9,65.6,0.1,4,26.5,36.4,6.8,65.6,1.7,1.3,0.4,18000000,18,28.54597391804189,-10.545973918041891,5.4,13.3,117.69999999999999,4.9,-1.1510048723014965,3.208233734486986,0.34180250940346557,2.8791906151129796,0.13091309130913092,0.9955995599559956,0.6567656765676567,0.9834983498349835
Luis Muriel,2022-2023,31,Atalanta,it Serie A,co COL,0.4,29,1073,11.9,10,19,2,0.3,0.3,0.5,0.2,0.1,0.1,0,0.1,1.7,1.3,3.3,1073,0.3,0.1,0,0,0.8,0.5,0.2,0.3,0.3,0.4,1.3,31.3,0.9,0.8,0,0.8,0.2,0.9,0.2,0,34.9,234.2,114.7,4.4,3.2,1.8,45.7,10.4,29.7,45.2,65.7,3.1,2.4,2.9,0.5,6,524.1,165.5,14.3,18.8,76.3,9.8,13.7,71.8,4.1,8.8,46.7,59.7,0.3,3.1,21.1,35.9,5.9,59.6,1.5,1,0.5,12000000,12,14.767525793982296,-2.767525793982296,4.2,10.4,95.4,4.6,-1.6548521105574232,1.9023759685717925,-0.7711946541595209,2.5161333227684786,0.056105610561056105,0.9559955995599559,0.22442244224422442,0.9790979097909791
Jimmy Cabot,2022-2023,28,Lens,fr Ligue 1,fr FRA,0.4,11,511,5.7,5,6,0,0,0.2,0.2,0,0,0,0,0.4,1.4,1.1,8.8,511,0.2,0,0,0,3.5,2.1,1.8,1.4,0.4,2.1,4.6,46.2,2.5,0.9,0,0.9,0.7,4.2,2.1,0,49.7,352.6,156.2,4.6,3,1.4,43.5,11.4,46,60.9,75.4,3,3.3,2.3,0.7,5.1,815.3,268.9,21.7,24.1,89.8,18,22.9,78.5,5.6,12,47.1,76.1,2.3,15.5,28.5,34,3.3,76.1,2,1.2,0.8,4000000,4,3.083840086998288,0.916159913001712,13,9.7,121.4,5,2.0400276366527046,1.5871689216267453,0.5264702002188499,3.000209712561146,0.9834983498349835,0.9372937293729373,0.7205720572057206,0.988998899889989
Lionel Messi,2022-2023,35,Paris S-G,fr Ligue 1,ar ARG,1.5,32,2837,31.5,32,0,0,0.5,0.5,1,0.5,0,0,0,0.1,2.4,1,2.4,2837,0.2,0,0,0,0.8,0.6,0,0.4,0.4,0.3,0.9,40.7,0.5,0.3,0,0.3,0.1,0.9,0,0,65.1,364.3,160.6,3.6,4,1.3,64.8,7,52.1,65,80,3,7.1,3.8,0.1,9.5,808.2,278.1,28.8,32.8,87.8,15.7,18.9,82.9,4.9,7.5,65.5,76.2,0.2,3.1,38.1,35.9,5,76.2,2.1,1.2,0.8,50000000,50,46.230118268763064,3.7698817312369357,3.3,13.1,132.1,5.1,-2.0327375392493683,3.118174578216972,1.0605091979822558,3.1212288100093124,0.013201320132013201,0.9933993399339934,0.8558855885588559,0.9933993399339934
Benjamin Bourigeaud,2022-2023,28,Rennes,fr Ligue 1,fr FRA,0.9,37,3065,34.1,37,0,0,0.2,0.3,0.5,0.1,0.1,0.1,0,0.1,1.9,1,5.2,3065,0.1,0,0,0,1.3,0.9,0.5,0.7,0.2,0.6,1.9,32.3,1.3,1.1,0.1,1,0.9,2.2,0.9,0,50.4,237.5,90.1,1.2,2.1,0.1,47,7.3,44.2,58.9,75,2.9,5.4,2.8,0.6,7.8,841.7,285.7,16.9,20.3,83.2,20,24.8,80.9,6.1,11.2,54.2,67.7,1.6,8,33.7,26.5,2.3,67.6,1.6,1.1,0.5,18000000,18,28.077518880563847,-10.077518880563847,7.4,9,119.2,4.5,-0.3112594752082857,1.271961874681699,0.41666778946375693,2.395114225320312,0.36743674367436746,0.8965896589658966,0.6853685368536854,0.9724972497249725
Neymar,2022-2023,30,Paris S-G,fr Ligue 1,br BRA,1.6,20,1545,17.2,18,2,0,0.8,0.6,1.4,0.6,0.1,0.1,0,0.1,2.4,0.8,3.7,1545,0.3,0.1,0,0,1.3,0.8,0.3,0.5,0.4,0.5,1.1,47.4,0.6,0.4,0.1,0.3,0.2,1.5,0.1,0.1,75.1,440.7,197.6,4,4.5,0.7,73.4,7.4,58.9,73.5,80.1,2.9,7.9,2.8,0.1,9.4,856.4,316.6,33.1,38.4,86.2,17.3,20.9,82.7,4.1,7.2,57.3,85.6,0.2,7.2,45.1,34.4,4.3,85.5,2.1,1.2,0.9,75000000,75,41.61882010638526,33.38117989361474,5.2,13.4,139,5,-1.2349794120108177,3.2532633126219923,1.404889486259593,3.000209712561146,0.11551155115511551,0.9966996699669967,0.9097909790979097,0.988998899889989
Ross Barkley,2022-2023,28,Nice,fr Ligue 1,eng ENG,-0.2,27,960,10.7,9,18,4,0.4,0.2,0.6,0.4,0,0,0,0.1,1.1,1.3,5.4,960,0.1,0,0,0,1.5,0.8,0.7,0.4,0.5,0.7,1.2,53.8,0.6,0.7,0.2,0.5,0.7,2.2,0.6,0,42.8,241.2,115.2,2.8,2.8,0.7,40.7,4.3,36.7,46.6,78.7,2.9,3.4,0.7,0,4.5,626.9,186.9,17.3,20.2,86,13.9,16.1,86,4,7.4,54.4,56.8,0.9,8.5,27.7,21.4,2.4,56.8,1.5,1.4,0.1,10000000,10,8.176510636187807,1.8234893638121932,7.6000000000000005,7.3,115.4,4.4,-0.22728493549896453,0.5064590463865857,0.22700907997768746,2.2740951278721457,0.40154015401540155,0.7106710671067107,0.6215621562156216,0.966996699669967
Sofiane Boufal,2022-2023,28,Angers,fr Ligue 1,ma MAR,-1.2,13,834,9.3,9,4,0,0.4,0.3,0.8,0.2,0.2,0.2,0,0.1,1.3,2.5,3.9,834,0.2,0.1,0,0,1.5,1,0.8,0.4,0.3,0.3,1.5,21.4,1.2,0.6,0,0.6,0.5,2.1,0.1,0,53.8,366.3,169.7,5.3,3.6,1.8,52.7,10.1,39.9,52.6,76,2.9,3.2,1.1,0.1,6,609,169.9,21.9,25.8,84.9,13.4,17.4,77,2.7,5.4,50,66.2,0.1,4.6,32.2,30.8,4.1,65.9,1.5,1.7,-0.2,10000000,10,4.588586159751635,5.411413840248365,6,11.3,115.9,4.4,-0.8990812531735335,2.3076421717868527,0.25196417333111765,2.2740951278721457,0.1859185918591859,0.976897689768977,0.6281628162816282,0.966996699669967
Ángel Di María,2022-2023,34,Juventus,it Serie A,ar ARG,0.3,26,1363,15.1,15,11,1,0.3,0.3,0.5,0.2,0.1,0.1,0,0.1,1.7,1.4,3.4,1363,0.3,0,0,0,0.7,0.3,0.2,0.3,0.1,0.2,1.3,15.8,1.1,1,0,1,0.5,1.1,0,0,36.4,253.4,119.8,3.7,2.8,0.9,42.3,6.3,32.2,44.6,72.1,2.8,4.2,2.7,0.5,6.3,599.6,209.1,14.5,16.6,87.6,12,15.4,77.7,4.9,9.3,52.5,56.2,0.1,4.7,24.6,28.1,3,56.1,1.5,1.2,0.3,10000000,10,21.83008791235657,-11.830087912356571,4.5,10,104.3,4.3,-1.5288903009934416,1.7222576560317657,-0.3269939924684636,2.1530760304239784,0.06820682068206821,0.9427942794279428,0.3872387238723872,0.9614961496149615
Branco van den Boomen,2022-2023,27,Toulouse,fr Ligue 1,nl NED,-0.3,35,2888,32.1,32,3,0,0.2,0.2,0.4,0,0.1,0.1,0,0,1.4,1.7,5.7,2888,0.1,0,0,0,2.2,1.1,0.8,1,0.4,1.1,2.8,40.4,1.7,0.8,0.1,0.7,0.3,2.5,0.8,0.1,54.8,275.9,118.8,1.5,1.7,0.2,52.4,3.2,52.5,69,76.1,2.7,8.4,1.6,0.4,10,1168.8,402.8,17.2,19.5,88.2,21.8,26.6,82.2,12.1,19.8,60.8,76.6,1.3,12,42.4,22.6,1.2,76.4,1.4,1.5,-0.2,7000000,7,12.194999758710475,-5.194999758710475,8.2,11.5,128.6,4.1,0.02463868362899822,2.3977013280568658,0.8858235445082444,1.9110378355276445,0.5038503850385039,0.9801980198019802,0.8162816281628162,0.9482948294829483
Dani Olmo,2022-2023,24,RB Leipzig,de Bundesliga,es ESP,1.1,23,1282,14.2,15,8,0,0.1,0.4,0.5,0.1,0,0,0,0.1,2.2,1.1,5.9,1282,0.1,0,0,0,1.1,0.6,0.1,0.7,0.3,0.4,1,42.9,0.6,1.1,0,1.1,0.4,1.5,0.4,0,35.7,183.9,95.3,2.4,2.5,1.1,42.1,6,31.6,41.8,75.5,2.7,2.5,1.9,0.1,4.8,460.6,132.5,18.1,21.1,86,9.4,12.1,77.5,2.2,4,54.4,56.3,0.4,5,27,25.3,3.7,56.3,2,0.8,1.2,40000000,40,30.683450438209668,9.316549561790332,7.4,7.199999999999999,107.1,4.7,-0.3112594752082857,0.4614294682515788,-0.1872454696892546,2.637152420216646,0.36743674367436746,0.6985698569856986,0.44664466446644663,0.9812981298129813
Florian Kainz,2022-2023,29,Köln,de Bundesliga,at AUT,0,32,2344,26,31,1,0,0.2,0.4,0.6,0.1,0.1,0.1,0,0,1.4,1.5,5.8,2344,0,0,0,0,0.8,0.4,0.3,0.5,0.1,0.3,1,30.8,0.7,1,0.2,0.8,1.2,2,1.2,0,31.2,188.3,82.7,2.5,2.1,0.3,33.7,5.6,29.1,46.3,62.9,2.7,3.1,2.2,0.7,6.1,578.9,234.1,10.9,13.1,83.6,12.2,17,72,5.1,12.5,41.2,57.4,0.9,7.9,24.6,25.8,1.7,57.3,1.4,1.2,0.2,4000000,4,11.740515467806524,-7.740515467806524,7.8,8.6,92,4.1,-0.14331039578964375,1.0918435621416722,-0.9408892889628466,1.9110378355276445,0.4136413641364136,0.8624862486248625,0.1771177117711771,0.9482948294829483
Hakan Çalhano?lu,2022-2023,28,Inter,it Serie A,tr TUR,1.2,33,2363,26.3,28,5,2,0.1,0.2,0.3,0.1,0,0,0,0.1,2.1,1,7.4,2363,0.1,0,0,0,1.8,1,0.6,1,0.2,0.6,1.6,37.2,1,1.1,0.2,1,1,2.8,0.5,0,44.4,210.1,99.1,1.8,2.1,0.2,50.4,2.6,53.2,63.9,83.2,2.7,5.7,1.4,0.4,6.6,974.1,298.3,24.3,26.3,92.3,20.8,24,86.7,6.9,11,62.5,74,1.3,14,38.7,22.1,1,73.9,1.8,0.8,1,35000000,35,34.35365953643846,0.6463404635615433,10.2,8.4,136.4,4.5,0.8643840807222091,1.0017844058716592,1.2751230008217562,2.395114225320312,0.7964796479647965,0.845984598459846,0.8954895489548955,0.9724972497249725
Hamed Junior Traorè,2022-2023,22,2 Teams,2 Comps,ci CIV,-0.4,18,1018,11.3,11,7,0,0,0.3,0.3,0,0,0,0,0.2,1.1,1.6,6,1018,0.2,0,0,0,2.5,1.5,0.8,1.3,0.4,0.9,2.6,34.5,1.7,1.1,0,1.1,0.4,2.8,0.1,0.1,29.8,193.9,91.7,2.9,1.8,0.7,32.5,5,25.9,37.4,69.3,2.7,2.5,1.5,0.5,4.6,435.6,141.3,12.6,15.3,82.1,9.1,12.3,74.1,2.9,5.9,49.3,49,0.4,6.4,22.2,21.5,3.1,49,1.4,1.7,-0.3,22000000,22,17.88524926939444,4.114750730605561,8.8,7.5,95.19999999999999,4.1,0.2765623027569621,0.5965182026565992,-0.7811766915008939,1.9110378355276445,0.5962596259625963,0.7414741474147415,0.2222222222222222,0.9482948294829483
Joshua Kimmich,2022-2023,27,Bayern Munich,de Bundesliga,de GER,1.6,33,2809,31.2,32,1,0,0.2,0.2,0.4,0.1,0,0,0,0.1,2.7,1.2,8.4,2809,0,0,0,0,2.5,1.6,0.8,1.5,0.3,1.2,2.3,52.8,1.1,1.2,0.2,0.9,1.3,3.8,1.2,0.1,56.5,285.9,110.3,1.3,1,0.1,66.2,1.8,74.7,88.7,84.3,2.7,8.7,2.2,0.1,10.1,1405.2,450.2,30.6,32.6,93.8,33.2,36.9,90,9.8,16.4,59.8,98.5,3.7,19.8,53.5,25.9,0.6,98.4,2.2,1.1,1.1,80000000,80,67.38017611512304,12.619823884876965,12.2,11.4,159,4.9,1.70412947781542,2.3526717499218592,2.4030932203968014,2.8791906151129796,0.9526952695269527,0.977997799779978,0.9856985698569857,0.9834983498349835
Julian Brandt,2022-2023,26,Dortmund,de Bundesliga,de GER,1.5,32,2397,26.6,29,3,0,0.3,0.3,0.6,0.3,0,0,0,0.1,2.5,1.1,5.2,2397,0.2,0,0,0,1.1,0.8,0.2,0.5,0.3,0.5,1.6,27.9,1.2,0.9,0,0.9,0.6,1.7,0.3,0,37.1,200.3,88.4,2.5,1.6,1,44.5,8.2,39.5,51.4,77,2.7,2.3,1.5,0.3,4.5,621.5,157.1,21.9,24.9,88.1,10.7,13.8,77.2,4.5,7.7,58.8,61.4,0.5,6.5,25.1,30.6,3,61.4,2.1,1.1,1,28000000,28,37.9594718987333,-9.959471898733298,6.9,7,116.5,4.800000000000001,-0.5211958244815884,0.3713703119815658,0.28191028535523366,2.758171517664813,0.2992299229922992,0.6644664466446645,0.6391639163916392,0.9823982398239824
Kingsley Coman,2022-2023,26,Bayern Munich,de Bundesliga,fr FRA,2,24,1409,15.7,16,8,3,0.5,0.3,0.8,0.5,0,0,0,0.1,2.7,0.7,4.5,1409,0.3,0.1,0,0,0.7,0.5,0.2,0.3,0.2,0.4,1.1,41.2,0.6,1.2,0.1,1.1,0.1,0.8,0.4,0,46.2,302.6,163.1,6.3,3.1,2.8,51.6,18.9,40.9,51.5,79.4,2.7,1.7,2.8,1.1,4.5,645.5,135.9,22.9,25.9,88.4,13.9,17.2,81,3.1,5,61.5,64.3,0.6,4.8,21.3,39.3,6,64.3,2.2,0.8,1.4,60000000,60,62.66399454986087,-2.663994549860867,5.3,10.8,120.30000000000001,4.9,-1.1929921421561573,2.0824942811118192,0.47156899484130377,2.8791906151129796,0.12321232123212321,0.9614961496149615,0.7062706270627063,0.9834983498349835
Paulo Dybala,2022-2023,28,Roma,it Serie A,ar ARG,0.7,25,1739,19.3,21,4,1,0.6,0.3,0.9,0.4,0.3,0.3,0,0.1,1.8,1.1,4.2,1739,0.3,0.1,0,0,0.7,0.2,0.1,0.4,0.3,0.4,1.3,30.8,0.9,0.6,0.1,0.6,0.4,1.1,0.2,0,35.7,214.3,94,2.9,2.2,1,40.6,5.6,33.6,43.1,78,2.7,2.5,1.1,0.1,3.9,598.3,152.9,17.6,19.9,88.5,9.8,12.2,80.4,5.2,7.7,67.1,56.4,0.1,4.4,28.1,24.7,4,56.1,1.7,0.8,0.9,30000000,30,17.12969052629826,12.870309473701742,5.300000000000001,6.8,111.6,4.4,-1.192992142156157,0.2813111557115524,0.0373503704916173,2.2740951278721457,0.12981298129812982,0.6391639163916392,0.5368536853685368,0.966996699669967
Amine Harit,2022-2023,25,Marseille,fr Ligue 1,ma MAR,0.2,10,515,5.7,6,4,0,0,0,0,0,0,0,0,0.3,1,0.9,4.7,515,0.3,0,0,0,1,0.7,0,0.5,0.5,0.5,1.4,37.5,0.9,0.7,0.2,0.5,0.7,1.7,1,0,49.6,321.9,138.2,3.3,2.3,1.6,47.7,9.4,38.6,47.4,81.5,2.6,3.7,2.8,0.2,6.6,556.8,169.3,23.2,26.9,86.4,10.7,12.2,87.1,2.3,3.8,59.1,59.6,1.7,5.8,24.3,30.8,5.2,59.6,1.7,1.4,0.3,14000000,14,10.854385244661183,3.1456147553388174,6.4,9.899999999999999,120.1,4.3,-0.7311321737548911,1.6772280778967583,0.46158695749993084,2.1530760304239784,0.23212321232123212,0.9416941694169417,0.6985698569856986,0.9614961496149615
Antoine Griezmann,2022-2023,31,Atlético Madrid,es La Liga,fr FRA,1,38,2859,31.8,31,7,0,0.5,0.5,1,0.5,0,0,0,0.1,1.9,0.9,4.7,2859,0.3,0,0,0,1.5,1.1,0.5,0.7,0.3,0.6,2.1,30.3,1.4,1.1,0.1,1,0.8,2.3,1,0,34.7,186.7,97.2,3.1,2.1,0.8,45.5,6.4,38.9,50.3,77.4,2.6,3.7,1.8,0.4,5.4,597.4,171.5,21.6,24.4,88.5,12.1,15.3,78.9,3.3,6.5,50.2,62,1.4,7.8,29.4,25.8,4.8,62,1.7,1.1,0.7,25000000,25,32.90190634806858,-7.901906348068579,7,8.5,116.30000000000001,4.3,-0.479208554626928,1.0468139840066657,0.2719282480138621,2.1530760304239784,0.3124312431243124,0.8558855885588559,0.636963696369637,0.9614961496149615
Dominik Szoboszlai,2022-2023,21,RB Leipzig,de Bundesliga,hu HUN,0.7,31,2444,27.2,28,3,0,0.2,0.3,0.5,0.2,0,0,0,0.1,1.9,1.2,5.6,2444,0.1,0,0,0,1.7,1,0.4,0.7,0.5,0.6,1.5,40.5,0.9,1.6,0.1,1.5,0.6,2.3,1,0,41.8,221.1,107.2,2.8,2.5,0.4,47.7,5.8,46.5,58.2,79.9,2.6,3.9,1.7,0.3,5.6,788.8,209.4,24.5,27.9,87.8,14.9,18.1,82.5,5.3,7.7,69,70.3,1,8.7,35.1,27.6,2.1,70.2,1.9,1.2,0.8,35000000,35,39.86089343390675,-4.860893433906753,7.8999999999999995,8.399999999999999,126.4,4.5,-0.10132312593498334,1.0017844058716585,0.7760211337531521,2.395114225320312,0.4389438943894389,0.8437843784378438,0.7865786578657866,0.9724972497249725
