Player,Season,Age,Team,Comp,Nation,(+/-) / 90,MP,Min,90s played,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,Pkatt,PKm,PPM,onG,onGA,Recov/90,Min.y,Off,PKwon,PKcon,OG,Tkl/90,Tkl Won,Tkls in Def 3rd,Tkls in Mid 3rd,Tkls in Att 3rd,Tkl,Tkl Att,Tkl%,Lost,Blocks,Shots Blocked,Pass Blocked,Int,Tkl+Int,Clearances,Errors leading to shoot,Carries/90,TotDist Carried,PrgDist Carried,PrgC,Carries into final third,Carreis into 18yd,Succesful Received Passes,Progressive Passes Received,PassesCmp/90,Passes Attempted,Passes Cmp%,Key Passes,Key Passes Close to Goal,Passes into 18yd,CrsPA,Prg Passes,TotDist Passed,PrgDist Passed,Short Passes Cmp,Short Passes Att,Short Passes Cmp%,Medium Passes Cmp,Medium Passes Att,Medium Passes Cmp%,Long Passes Cmp,Long Passes Att,Long Passes Cmp%,Touches/90,Touches in Def Pen,Touches in Def 3rd,Touches in Mid 3rd,Touches Att 3rd,Touches in Att Pen,Live ball Touches,xG when on/90,xGA when on,xG+/-,MarketValue_2022,MarketValue in Millions,predicted_value,Residual,Def_score_raw,Prog_score_raw,Onball_score_raw,Creat_score_raw,Def_score,Prog_score,Onball_score,Creat_score,Def_pct,Prog_pct,Onball_pct,Creat_pct
Jean-Eudes Aholou,2022-2023,28,Strasbourg,fr Ligue 1,ci CIV,-0.3,30,1300,14.4,16,14,5,0.2,0.1,0.3,0.2,0,0,0,0.1,1.2,1.5,6.3,1300,0.1,0,0,0,2.4,1.4,0.7,1.4,0.3,0.8,2.1,38.7,1.3,1.7,0,1.7,1.7,4,1,0,37.2,201.2,84.5,1.7,1.2,0.6,33,2.6,30.9,41,75.5,0.6,3.7,0.8,0.1,3.5,515.8,146,14.3,17.7,81.2,12.4,15.9,77.8,2.6,4.7,55.9,55.3,1.8,9.1,33.4,13.4,1.9,55.3,1.4,1.3,0,3000000,3,-1.1595848603244239,4.159584860324424,10.3,5.2,106.4,2,0.9063713505768702,-0.43916209444855403,-0.2221826003840563,-0.6303632108838577,0.8074807480748075,0.3564356435643564,0.429042904290429,0.2684268426842684
Jean-Victor Makengo,2022-2023,24,2 Teams,2 Comps,fr FRA,-0.1,31,1869,20.8,23,8,1,0,0,0,0,0,0,0,0.1,1.1,1.2,5.7,1869,0,0,0,0,1.5,1,0.6,0.8,0.1,0.5,1.4,37.9,0.9,0.8,0.3,0.4,0.9,2.5,0.8,0,38.8,240.7,106.8,2,2,0,37.9,2.9,35.6,41.2,86.3,0.6,2.5,0.4,0,3.8,511.7,123.3,20.6,22.5,91.5,11.9,13.5,87.9,1.3,2,68.3,50.3,1.8,10.4,30.2,10.6,0.6,50.3,1.1,1.4,-0.2,7500000,7.5,13.028963661082322,-5.528963661082322,8.2,5.8,121.9,1.7000000000000002,0.02463868362899822,-0.1689846256385142,0.5514252935722802,-0.9934205032283578,0.5038503850385039,0.46314631463146316,0.7260726072607261,0.1551155115511551
Jeffrey Schlupp,2022-2023,29,Crystal Palace,eng Premier League,gh GHA,-0.2,34,2531,28.1,30,4,0,0.1,0,0.1,0.1,0,0,0,0,1.2,1.4,5.3,2531,0,0,0,0,2.3,1.6,1,1,0.3,0.8,1.5,51.2,0.7,1.4,0.3,1.1,0.8,3.2,1.4,0,21.4,107.9,43.8,1.1,0.9,0.4,25.1,2.4,23.6,32,73.9,0.6,2.1,0.4,0,3.5,375.6,99.5,12,14.9,80.9,9,11.1,81.4,1.8,3.7,50,42.4,2.2,10,22.8,10.4,1.7,42.4,1,1.3,-0.2,8000000,8,15.740812731824452,-7.740812731824452,8.5,4.6,97.5,1.6,0.15060049319298016,-0.7093395632585943,-0.6663832620751143,-1.1144396006765247,0.5544554455445545,0.24422442244224424,0.26512651265126513,0.09020902090209021
Joan Gonzàlez,2022-2023,20,Lecce,it Serie A,es ESP,-0.3,35,2197,24.4,26,9,2,0,0.1,0.2,0,0,0,0,0,0.9,1.2,5.5,2197,0.1,0,0,0,2,1.1,0.8,0.7,0.4,0.7,2.1,33.3,1.4,1.5,0.3,1.2,0.7,2.6,1.1,0,22,105,43.1,0.7,0.8,0.2,25.6,2.7,24.5,32,76.5,0.6,2.9,0.4,0.1,2.9,379.5,104.9,12.7,15.6,81.8,8.9,10.4,85.5,1.7,3.4,50.6,44.2,1.8,9.3,23.4,12.2,1.5,44.2,0.8,1,-0.2,3000000,3,6.474120256389037,-3.474120256389037,8.1,3.5999999999999996,101,1.4,-0.017348586225662176,-1.159635344608661,-0.49169760860110284,-1.3564777955728586,0.47634763476347636,0.10561056105610561,0.3179317931793179,0.03850385038503851
John McGinn,2022-2023,27,Aston Villa,eng Premier League,sct SCO,0.2,34,2693,29.9,30,4,1,0,0.1,0.1,0,0,0,0,0.1,1.2,1,5.9,2693,0,0.1,0,0,2.2,1.2,0.9,1,0.3,1.1,2.4,47.9,1.2,1.4,0.1,1.3,0.8,3,0.6,0,26.9,136.1,60.1,1.1,1.2,0.3,29.7,2.2,26.9,34.4,78.3,0.6,3.8,0.7,0.2,4.7,480.7,161.4,12.5,14.4,87,10.3,12.5,82.8,3.4,5.5,61.2,45.1,1.2,7.3,25.3,13,1.5,45.1,1.3,1.3,0,30000000,30,25.641243284939982,4.358756715060018,8.9,5.800000000000001,105.19999999999999,1.9,0.3185495726116225,-0.1689846256385138,-0.28207482443228965,-0.7513823083320246,0.6160616061606161,0.47634763476347636,0.41144114411441146,0.2222222222222222
Kevin-Prince Boateng,2022-2023,35,Hertha BSC,de Bundesliga,gh GHA,-1.3,16,467,5.2,5,11,13,0,0,0,0,0,0,0,0.1,1,2.3,5.2,467,0,0,0,0,1.5,1.2,0.8,0.4,0.4,0.6,1.7,33.3,1.2,2.1,0.6,1.5,0.6,2.1,1,0,30.1,100,32.6,0.4,0.2,0.4,39.1,3.9,35.7,48.6,73.4,0.6,3.7,0.4,0,4.6,599.9,187.1,17.3,22,78.9,12.7,16.6,76.7,4.4,6.6,67.6,61.7,2.1,12.7,33.1,16.4,2.9,61.7,1.2,1.5,-0.3,700000,0.7,-7.350566264935651,8.05056626493565,7.300000000000001,5,109.10000000000001,1.7999999999999998,-0.35324674506294607,-0.5292212507185674,-0.08742509627553303,-0.8724014057801915,0.35313531353135313,0.31353135313531355,0.48404840484048406,0.17491749174917492
Kostas Stafylidis,2022-2023,28,Bochum,de Bundesliga,gr GRE,-0.9,19,1043,11.6,11,8,3,0,0.2,0.2,0,0,0,0,0.1,1,2,6.3,1043,0,0,0,0,2.3,1.4,1.1,0.7,0.5,0.9,2.1,41.7,1.2,1.8,0.7,1.1,1.7,4.1,2.7,0.1,20.7,98.3,44.9,0.8,0.6,0.1,23,1.2,25.6,36.5,70.2,0.6,2,0.4,0.3,2.2,506.9,175.8,9.8,11,88.3,12,16.4,73.2,3.6,7.7,47.2,48.7,3.7,16.1,24.9,7.9,0.3,48.7,1.1,2.1,-1,1800000,1.8,-3.72902942393881,5.52902942393881,10.399999999999999,3,95.80000000000001,1.7000000000000002,0.9483586204315299,-1.4298128134187007,-0.7512305794767764,-0.9934205032283578,0.8283828382838284,0.0517051705170517,0.22882288228822883,0.1551155115511551
Lassana Coulibaly,2022-2023,26,Salernitana,it Serie A,ml MLI,-0.5,35,2892,32.1,34,1,0,0.1,0.1,0.2,0.1,0,0,0,0,1.3,1.8,6.9,2892,0,0,0,0,2.6,1.6,1.3,1.1,0.2,0.9,2.3,41.1,1.3,1.1,0.2,0.9,0.8,3.4,1,0.1,28.5,180.8,80,1.6,1.2,0.2,29.9,1.8,30.4,36.5,83.3,0.6,2.8,0.3,0,3.7,485.1,139.2,15.2,17.2,88.3,12.4,14.1,88.1,1.8,2.9,62,47.9,2.7,12.4,29,7.6,0.5,47.9,1,1.8,-0.8,4000000,4,10.249996157700686,-6.249996157700686,10.3,5.300000000000001,113.69999999999999,1.6,0.9063713505768702,-0.3941325163135471,0.1421617625760239,-1.1144396006765247,0.8074807480748075,0.39163916391639164,0.5786578657865786,0.09020902090209021
Lewis Ferguson,2022-2023,22,Bologna,it Serie A,sct SCO,0.4,32,2314,25.7,27,5,4,0.3,0,0.3,0.3,0,0,0,0.1,1.6,1.2,4.1,2314,0.2,0,0,0,1.7,1,0.6,0.8,0.3,0.8,1.6,50,0.8,0.9,0.3,0.6,0.7,2.5,1,0,32.3,135.7,56.8,1.2,1.4,0.3,43.9,4.4,40.4,47.4,85.3,0.6,2.7,0.5,0,3.4,564.9,108.8,24.6,26.8,91.6,12.9,14.6,88.3,1.4,2.6,54.4,57.3,1.7,10.6,30.9,16.1,2.7,57.3,1.2,1.3,-0.1,4000000,4,11.946234260563743,-7.9462342605637435,6.6,4.6,125.69999999999999,1.7999999999999998,-0.6471576340455704,-0.7093395632585943,0.7410840030583489,-0.8724014057801915,0.25742574257425743,0.24422442244224424,0.7755775577557755,0.17491749174917492
Lewis O'Brien,2022-2023,23,Nott'ham Forest,eng Premier League,eng ENG,-1.4,13,584,6.5,6,7,2,0.2,0,0.2,0.2,0,0,0,0.1,0.8,2.2,7.9,584,0,0,0,0,2.5,1.4,0.6,1.7,0.2,0.9,1.8,50,0.9,2,0.3,1.7,0.8,3.2,1.4,0,24.2,145.9,79.8,2,1.4,0.3,25.6,0.5,25.6,33,77.6,0.6,2.9,0.5,0,3.2,429.2,100.2,11.1,13.1,84.7,12.9,15.9,81.6,1.1,2.5,43.8,45.8,2.9,11.1,24.8,10.9,0.5,45.8,1,2.1,-1.1,8000000,8,7.408456747926674,0.5915432520733264,11.100000000000001,5.2,103.19999999999999,1.6,1.242269509414155,-0.43916209444855403,-0.3818951978460105,-1.1144396006765247,0.8888888888888888,0.3564356435643564,0.3586358635863586,0.09020902090209021
Lucas Tousart,2022-2023,25,Hertha BSC,de Bundesliga,fr FRA,-0.7,33,2944,32.7,33,0,0,0.2,0.1,0.2,0.2,0,0,0,0,1.3,2,5.1,2944,0.1,0,0,0,2.2,1.2,1.1,0.9,0.3,0.8,1.8,45,1,1.3,0.2,1.1,1.5,3.7,2.3,0,16.6,95.5,41,1.1,0.5,0.2,19.3,2.4,16.2,27.1,59.9,0.6,2.2,0.3,0.1,2.8,257.6,98.9,8.2,12.3,66.7,6,8.6,69.9,1.1,2.9,38.3,41.2,2.6,10.7,22,9,2.5,41.2,1.2,1.8,-0.6,11000000,11,15.275709141432772,-4.275709141432772,8.8,3.9,76.1,1.7999999999999998,0.2765623027569621,-1.0245466102036407,-1.7344612576019276,-0.8724014057801915,0.5962596259625963,0.1331133113311331,0.027502750275027504,0.17491749174917492
Marco Benassi,2022-2023,27,Cremonese,it Serie A,it ITA,-1.1,15,998,11.1,11,4,1,0,0,0,0,0,0,0,0.1,0.8,1.9,6.4,998,0,0,0,0,2.3,1.4,0.8,1,0.5,1.4,2.2,62.5,0.8,1.2,0.1,1.1,1.1,3.4,1.7,0,20.3,107.6,39.6,0.9,1.3,0,20.2,2.7,22.4,31,72.1,0.6,1.5,0.4,0.2,2.4,389.4,95.6,10.4,12.3,84.6,9.8,12.4,79,1.8,4,45.5,41.6,1.8,9.8,19.9,12.3,1.5,41.6,0.9,1.5,-0.6,2400000,2.4,-1.739606068701213,4.139606068701212,9.8,3.3,94.5,1.5,0.6964350013035675,-1.2947240790136807,-0.8161138221956956,-1.2354586981246916,0.7436743674367436,0.0737073707370737,0.2156215621562156,0.05500550055005501
Marten de Roon,2022-2023,31,Atalanta,it Serie A,nl NED,0.5,35,2964,32.9,34,1,0,0.1,0,0.1,0.1,0,0,0,0.1,1.7,1.2,6.6,2964,0,0,0,0,2.3,1.2,1.1,1.1,0.2,1.1,2.5,45.7,1.3,1.1,0.1,1,1.1,3.4,1.8,0,34.2,142.6,66.6,0.5,0.9,0.1,42.2,0.7,48.2,58.1,83,0.6,4.7,0.7,0,5.2,892.5,261.7,19.3,21.7,88.9,22.3,25.6,87.4,5.4,8.3,64.8,67.1,3.6,19.3,37.4,10.7,0.6,67.1,1.5,1.1,0.4,12000000,12,13.681013567248918,-1.6810135672489182,10,5.7,131.2,2.1,0.7804095410128883,-0.2140142037735207,1.0155900299460812,-0.5093441134356907,0.7678767876787679,0.4521452145214521,0.8481848184818482,0.3355335533553355
